halua-          {'ASP:BOUNDED', 'CLASS:TR', 'ASP', 'ARG', 'PHI:NUM:_', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:N', '-COMP:P', 'COMP:P', 'PHON', 'COMP:φ', '!COMP:*', 'V', 'PF:haluaa', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', '-SPEC:*', 'PHI:PER:_', 'SPEC:ADV', 'COMP:A/inf', 'SEM:internal', '-COMP:V', 'LF:want', 'LANG:FI', 'SPEC:TO/inf'}
hairitsee       {'PHON', 'LANG:FI'}
hairitse-       {'-COMP:FIN', 'PF:hairitsee', 'CLASS:TR', 'ASP', 'ARG', 'PHI:NUM:_', 'PHI:DET:_', 'PHI:GEN:_', '!COMP:φ', 'LF:disturb', '-VAL', 'SPEC:P', '-COMP:N', '-COMP:P', 'COMP:P', '!COMP:*', 'COMP:φ', 'V', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'PHON', 'LANG:FI', 'SPEC:TO/inf'}
hanno           {'LANG:IT', 'PHON'}
ho              {'LANG:IT', 'PHON'}
ha-             {'PHI:NUM:_', 'PHI:DET:_', 'ARG', 'SPEC:*', 'LF:have', 'PHI:GEN:_', '-VAL', 'SPEC:P', 'PF:ha', '-COMP:N', 'COMP:P', 'V', '-ASP', '-COMP:v', 'COMP:T', '-SPEC:FORCE', '-SPEC:T/fin', 'LANG:IT', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', 'SEM:internal', '-COMP:V', 'PHON', 'SPEC:TO/inf'}
horse           {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', 'LANG:EN', '-SPEC:V', 'PHON', '-SPEC:R', 'N', 'COMP:R', 'LF:horse', '-COMP:D', '-COMP:WH', 'PF:horse', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-SPEC:N', '-COMP:C/fin'}
havisivat       {'PHON', 'LANG:FI'}
haviavan        {'PHON', 'LANG:FI'}
havisi          {'PHON', 'LANG:FI'}
havia-          {'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:φ', 'CLASS:INTR', '-COMP:N', 'COMP:P', 'V', '-COMP:v', '-SPEC:FORCE', '-COMP:MA/inf', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'PF:havia', 'PHON', 'LANG:FI', 'LF:disappear', 'SPEC:TO/inf'}
Helsingissa     {'PHON', 'LANG:FI'}
Helsinki        {'PHON', 'LANG:FI'}
Helsinki-       {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:V', 'LF:Helsinki', 'LANG:FI', 'PHON', '-SPEC:R', 'PF:Helsinki', 'N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', 'R:REF:PROPER_NAME', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-COMP:T/prt', '-SPEC:N', '-COMP:C/fin'}
ihailen         {'PHON', 'LANG:FI'}
ihaili          {'PHON', 'LANG:FI'}
